Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,11.0,1.0,1.0,2023-09-10,LAR,@,SEA,"W, 30-13",,15.0,52.0,2.0,3.5,2.0,0.0,2.0,,0.0,0.0,1.0,1.0,8.0,0.0,8.0,1.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,65.4,0.0,0.0,8.0,28.6,willky02,2023,willky02_2023_gamelog.csv
2.0,12.0,2.0,2.0,2023-09-17,LAR,,SFO,"L, 23-30",*,14.0,52.0,1.0,3.7,10.0,6.0,48.0,8.0,1.0,60.0,4.8,0.0,0.0,0.0,,1.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,95.0,0.0,0.0,4.0,14.3,willky02,2023,willky02_2023_gamelog.csv
3.0,13.0,3.0,3.0,2023-09-25,LAR,@,CIN,"L, 16-19",*,10.0,38.0,0.0,3.8,7.0,2.0,27.0,13.5,0.0,28.6,3.9,0.0,0.0,0.0,,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,100.0,0.0,0.0,6.0,19.4,willky02,2023,willky02_2023_gamelog.csv
4.0,14.0,4.0,4.0,2023-10-01,LAR,@,IND,"W, 29-23 (OT)",*,25.0,103.0,2.0,4.1,3.0,3.0,24.0,8.0,0.0,100.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,59.0,72.0,0.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv
5.0,15.0,5.0,5.0,2023-10-08,LAR,,PHI,"L, 14-23",*,13.0,53.0,0.0,4.1,2.0,2.0,4.0,2.0,0.0,100.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.0,83.9,0.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv
6.0,16.0,6.0,6.0,2023-10-15,LAR,,ARI,"W, 26-9",*,20.0,158.0,1.0,7.9,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.0,82.5,0.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv
6.0,,7.0,7.0,2023-10-22,LAR,,PIT,"L, 17-24",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv
6.0,,8.0,8.0,2023-10-29,LAR,@,DAL,"L, 20-43",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv
6.0,,9.0,9.0,2023-11-05,LAR,@,GNB,"L, 3-20",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv
6.0,,10.0,11.0,2023-11-19,LAR,,SEA,"W, 17-16",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv
7.0,17.0,11.0,12.0,2023-11-26,LAR,@,ARI,"W, 37-14",*,16.0,143.0,0.0,8.9,6.0,6.0,61.0,10.2,2.0,100.0,10.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,41.0,61.2,0.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv
8.0,18.0,12.0,13.0,2023-12-03,LAR,,CLE,"W, 36-19",*,21.0,88.0,1.0,4.2,5.0,3.0,24.0,8.0,0.0,60.0,4.8,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,93.8,0.0,0.0,1.0,3.0,willky02,2023,willky02_2023_gamelog.csv
9.0,19.0,13.0,14.0,2023-12-10,LAR,@,BAL,"L, 31-37 (OT)",*,25.0,114.0,0.0,4.6,4.0,3.0,-1.0,-0.3,0.0,75.0,-0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,69.0,89.6,0.0,0.0,1.0,2.7,willky02,2023,willky02_2023_gamelog.csv
10.0,20.0,14.0,15.0,2023-12-17,LAR,,WAS,"W, 28-20",*,27.0,152.0,1.0,5.6,7.0,5.0,3.0,0.6,0.0,71.4,0.4,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,58.0,77.3,0.0,0.0,2.0,7.4,willky02,2023,willky02_2023_gamelog.csv
11.0,21.0,15.0,16.0,2023-12-21,LAR,,NOR,"W, 30-22",*,22.0,104.0,1.0,4.7,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,55.0,78.6,0.0,0.0,2.0,8.3,willky02,2023,willky02_2023_gamelog.csv
12.0,22.0,16.0,17.0,2023-12-31,LAR,@,NYG,"W, 26-25",*,20.0,87.0,3.0,4.4,2.0,2.0,14.0,7.0,0.0,100.0,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,58.0,93.5,0.0,0.0,1.0,3.3,willky02,2023,willky02_2023_gamelog.csv
12.0,,17.0,18.0,2024-01-07,LAR,@,SFO,"W, 21-20",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv
